time,T_C,ea_kPa,Rn_Wm2,U2_ms,RET_mm_hr,es_kPa,VPD_kPa,Delta_kPa_per_C,P_kPa,gamma_kPa_per_C,W,NR_mm_hr,FU2,ET_mm,P_mm,Surface_Temp_C
2025-08-26 00:00:00,25.70642,1.2632717349303701,-53.98228,4.078015,0.15514306824191487,3.3035426467540594,2.040270911823689,0.19571277381415683,100.57308664064,0.06655017739083122,0.746246364249845,-0.0030265538921238847,0.3040248585,0.04799484,0.0,24.0395
2025-08-26 00:30:00,25.24659,1.2152074487712297,-52.56641,3.116852,0.13294415917181063,3.2146057562867343,1.9993983075155046,0.19111153827095126,100.57308664064,0.0665219154010299,0.7417962828471586,-0.003000850624662709,0.2618298028,0.03213629,0.0,22.0736
2025-08-26 01:00:00,24.38638,1.1995763431239121,-47.92889,1.314048,0.0882702170856736,3.0538226312268737,1.8542462881029615,0.18274837518058185,100.57308664064,0.06646904532676988,0.733288928232009,-0.002832623287274459,0.18268670720000002,0.01734559,0.0,20.9293
2025-08-26 01:30:00,23.38737,1.180870950980143,-43.46173,1.188681,0.08122419121796186,2.875939107645775,1.6950681566656323,0.1734249824854668,100.57308664064,0.06640764435155859,0.723108380926483,-0.0026783319987247257,0.1771830959,0.004543839,0.0,21.5678
2025-08-26 02:00:00,23.68952,1.1285192513999074,-49.03622,3.178008,0.12820393496928884,2.928760197672778,1.8002409462728708,0.17620151189286212,100.57308664064,0.06642621504120143,0.7262216652622996,-0.0029833177406251906,0.2645145512,0.03306005,0.0,22.2298
2025-08-26 02:30:00,23.74666,1.0485730336277481,-43.62839,2.070471,0.10956482259839082,2.9388438875681073,1.8902708539403592,0.17673077787697952,100.57308664064,0.06642972696973426,0.7268070856670948,-0.002647923533963652,0.2158936769,0.0268783,0.0,20.8459
2025-08-26 03:00:00,22.44057,1.03216022256831,-35.58175,1.579799,0.09222840185528414,2.7157680130302686,1.6836077904619586,0.16496242959165283,100.57308664064,0.06634945229809562,0.7131602070933817,-0.002285242050859543,0.1943531761,0.01224496,0.0,21.1944
2025-08-26 03:30:00,21.84664,1.0875807474518717,-35.05999,1.299294,0.0801281939540664,2.6193176105309024,1.5317368630790307,0.1598339205306619,100.57308664064,0.06631294827790839,0.7067704336245255,-0.0023129482855373186,0.1820390066,0.005519035,0.0,20.7282
2025-08-26 04:00:00,21.27213,1.1568935678812617,-39.18719,1.534317,0.07718675911004856,2.528881672164838,1.3719881042835764,0.15500190546547385,100.57308664064,0.06627763784631246,0.7004800495591847,-0.0026550452741580526,0.1923565163,0.00354446,0.0,20.36
2025-08-26 04:30:00,21.1645,1.1779278972504335,-32.10786,2.141505,0.08634816372185078,2.5122461308410813,1.3343182335906478,0.15411053829725255,100.57308664064,0.06627102271036589,0.6992896211127438,-0.002186463010957047,0.21901206950000002,0.01916967,0.0,21.0227
2025-08-26 05:00:00,21.16248,1.1902481671021763,-32.23223,1.650479,0.07694874022910064,2.5119348314192647,1.3216866643170884,0.154093850627447,100.57308664064,0.06627089855748461,0.6992672430477089,-0.002195141799910531,0.19745602810000001,0.008259187,0.0,20.0677
2025-08-26 05:30:00,20.35457,1.195243401288087,-39.65994,1.319939,0.06577964860515291,2.3900991284975315,1.1948557272094444,0.14754081147993003,100.57308664064,0.06622124293653692,0.6902104860597952,-0.0028082056426899493,0.1829453221,0.02026566,0.0,19.4663
2025-08-26 06:00:00,21.061,1.0858096987450199,-41.37459,1.610529,0.08134952563164416,2.4963392074527633,1.4105295087077434,0.15325746517475533,100.57308664064,0.06626466141174589,0.6981413106635757,-0.002831349632314095,0.19570222310000002,0.03723113,0.0,20.558
2025-08-26 06:30:00,21.67824,1.07936421557633,-27.82483,1.074713,0.07557003262164975,2.592520964535112,1.513156748958782,0.1584045605041256,100.57308664064,0.06630259810701362,0.7049377575827401,-0.0018498958858601262,0.1721799007,0.03267084,0.0,20.5455
2025-08-26 07:00:00,22.92656,1.1517945507468403,37.56015,0.8274835,0.03768853671101187,2.7969823888519403,1.6451878381051,0.16926160102193524,100.57308664064,0.0663793221291713,0.7183030806299929,0.0023611697397066993,0.0776630496,-0.0005642808,0.0,25.3595
2025-08-26 07:30:00,23.84618,1.209802090729544,9.265397,1.074601,0.044095713656140074,2.956478865488127,1.7466767747585832,0.17765579481427474,100.57308664064,0.06643584365030103,0.7278241726418554,0.0005599948095198515,0.09189701759999999,0.03359558,0.0,24.1734
2025-08-26 08:00:00,23.23711,1.2402446226197827,45.66447,2.002695,0.06719661498522414,2.8499820018226703,1.6097373792028875,0.1720580072084896,100.57308664064,0.06639840909812245,0.7215490774937,0.0028322728843326443,0.145355232,-0.04002405,0.0,30.0281
2025-08-26 08:30:00,24.51156,1.2231500215677187,135.4911,2.629702,0.09514640708201404,3.0767749130162274,1.8536248914485087,0.18394587069319543,100.57308664064,0.06647673911769986,0.734541784514189,0.007966702570594938,0.18147083519999999,0.008265652,0.0,22.5952
2025-08-26 09:00:00,21.54047,1.651318131132723,16.9885,1.526097,0.032949704122010634,2.570776742070499,0.9194586109377763,0.15724323017953404,100.57308664064,0.06629413051173945,0.703431541346245,0.0011366811195878974,0.1179031872,1.121817,0.5,21.667
2025-08-26 09:30:00,20.06542,1.8817303676272212,22.04623,1.580171,0.01874522415299062,2.3477673521090403,0.46603698448181907,0.1452535064167254,100.57308664064,0.0662034712505855,0.6869175376433091,0.0015835247887447253,0.12101784959999999,2.211449,7.8,22.1489
2025-08-26 10:00:00,20.90986,1.6701330025118892,58.80476,1.503418,0.03124749676715923,2.473268616619825,0.8031356141079358,0.15201890375045563,100.57308664064,0.06625537207190602,0.6964581748248397,0.004053219690039954,0.1165968768,0.1533645,0.7,23.1123
2025-08-26 10:30:00,20.7749,1.662363983890343,58.06687,1.902,0.03645060757965269,2.4528255156782577,0.7904615317879147,0.15092009639343784,100.57308664064,0.06624707718435283,0.6949489368354159,0.004028359877136062,0.1395552,0.1840846,1.1,22.7007
2025-08-26 11:00:00,21.38388,1.7918740375409459,142.1816,1.707079,0.03560111003766045,2.5462557853107457,0.7543817477697998,0.1559320003523546,100.57308664064,0.06628450620496741,0.701712049964799,0.009582871740038785,0.1283277504,0.4634322,0.2,25.0873
2025-08-26 11:30:00,22.01141,1.8341526136435833,267.9484,2.81846,0.057928586313343244,2.645770492944478,0.8116178793008946,0.16124299986247712,100.57308664064,0.0663230753423878,0.7085546460179495,0.017544544272369927,0.192343296,0.1715628,0.0,31.1089
2025-08-26 12:00:00,24.35841,1.9696632741628342,769.4118,2.09096,0.07671133143557485,3.0487146761314237,1.0790514019685895,0.18248170893106808,100.57308664064,0.06646732623959693,0.7330082994937868,0.045524867794021394,0.150439296,0.5100984,0.0,33.4458
2025-08-26 12:30:00,25.27634,1.987624302265152,777.6871,3.884402,0.11357693513208603,3.2202959477765503,1.2326716455113982,0.19140644564577006,100.57308664064,0.06652374389024676,0.7420862443054285,0.04434345148073755,0.25374155519999997,0.6825695,0.0,33.406
2025-08-26 13:00:00,25.47629,2.0858103921070756,671.9198,3.591868,0.0994073787608151,3.258768136329312,1.1729577442222365,0.19339848234910348,100.57308664064,0.06653603318163874,0.7440277100338775,0.03801194061142432,0.2368915968,0.5846521,0.0,36.3006
2025-08-26 13:30:00,27.21021,2.1354365248820013,579.1705,3.042229,0.09583333269145203,3.609546397077121,1.4741098721951196,0.21141690076113995,100.57308664064,0.0666426030647614,0.760329705880193,0.03067703108564367,0.2052323904,0.5136748,0.0,39.3233
2025-08-26 14:00:00,29.68106,2.0211761504183308,562.2146,3.491734,0.12944683009811492,4.166058405930686,2.1448822555123552,0.23951703246320172,100.57308664064,0.06679446600867668,0.7819394102346802,0.027299927871617197,0.2311238784,0.5455594,0.0,38.6218
2025-08-26 14:30:00,30.68071,1.915455771327129,513.8973,5.362819,0.1965874383700762,4.411570376426145,2.4961146050990157,0.2517434032458906,100.57308664064,0.06685590631945432,0.7901567758867283,0.024140692117222445,0.33889837440000004,0.6873898,0.0,38.6236
2025-08-26 15:00:00,31.66695,1.6850112348365918,255.4755,5.905441,0.2321975155562585,4.666017124962283,2.9810058901256915,0.2643141696936791,100.57308664064,0.06691652242719336,0.7979760812661219,0.011627378455892002,0.3701534016,0.6390479,0.0,38.3565
2025-08-26 15:30:00,32.83836,1.6200520398801421,-83.2739,5.500084,0.23514120686721832,4.98472029196028,3.364668252080138,0.27992406089813865,100.57308664064,0.06698851942058907,0.8069008643069587,-0.003654822012536599,0.3664536876,0.5268892,0.0,37.7433
2025-08-26 16:00:00,34.0725,1.612496021826153,274.4006,4.891244,0.22345006429831696,5.3407702049739765,3.7282741831478234,0.29719683157574794,100.57308664064,0.06706437191410493,0.8158893363564778,0.011606996230747846,0.31173565440000006,0.4752296,0.0,38.8643
2025-08-26 16:30:00,34.85103,1.6028657816911143,239.4555,3.861483,0.18733023791708653,5.5765508552045935,3.9736850735134794,0.30854439150048907,100.57308664064,0.06711222178671004,0.8213468912487878,0.009902571474890536,0.2524214208,0.3495375,0.0,38.2469
2025-08-26 17:00:00,35.48037,1.4806952637616966,159.5206,2.546364,0.13759186063879894,5.773695011926817,4.29299974816512,0.3179798242103913,100.57308664064,0.067150902170029,0.825641275623126,0.006479886833340787,0.1766705664,0.2000507,0.0,36.8087
2025-08-26 17:30:00,35.61629,1.4802822333671437,89.01281,2.513014,0.1344223574443855,5.817057127806416,4.336774894439273,0.32004891940244684,100.57308664064,0.06715925606093172,0.8265551702761412,0.003601990967151977,0.1747496064,0.1593408,0.0,34.0151
2025-08-26 18:00:00,34.94443,1.663679023764316,27.26505,2.936947,0.14067442246468562,5.60543476196503,3.9417557382007145,0.3099297389283071,100.57308664064,0.06711796232092365,0.8219907929459613,0.0011245198463525129,0.1991681472,0.2124857,0.0,32.3471
2025-08-26 18:30:00,33.24441,1.9877896706933076,-30.89464,2.887733,0.14784457925659197,5.099519575179714,3.111729904486407,0.28551181666492026,100.57308664064,0.06701347599358089,0.8099044880206702,-0.00133937841633376,0.2517714787,0.1159222,0.0,29.004
2025-08-26 19:00:00,31.39805,2.037999396702068,-58.90868,2.761496,0.12638929343198,4.595408641314648,2.5574092446125802,0.2608357175590241,100.57308664064,0.06689999534314585,0.7958721228433361,-0.002704054257638442,0.24622967440000001,0.07167042,0.0,26.3363
2025-08-26 19:30:00,29.79238,1.9161681320854733,-58.59824,2.515737,0.11416532344302882,4.192796882035142,2.276628749949669,0.24085340020626297,100.57308664064,0.06680130793874797,0.7828692161367424,-0.0028347721693772294,0.2354408543,0.05123858,0.0,24.7316
2025-08-26 20:00:00,28.16352,1.951117102190594,-57.41825,2.404036,0.09710445386092342,3.816068895156121,1.8649517929655268,0.2219108124137873,100.57308664064,0.0667011952346883,0.768889743090907,-0.002938338360565187,0.23053718039999999,0.03507965,0.0,24.4583
2025-08-26 20:30:00,28.30214,1.79112776751493,-58.74568,3.836066,0.13636108845415604,3.8469395977237233,2.0558118302087935,0.2234725484298801,100.57308664064,0.06670971507251153,0.7701109838094508,-0.0029915443610464792,0.29340329740000004,0.09771014,0.0,23.8519
2025-08-26 21:00:00,27.50706,1.7506970439110656,-58.16704,4.656793,0.14772668947994866,3.672785350773025,1.9220883068619594,0.21463887450782307,100.57308664064,0.06666084800674543,0.7630255465207825,-0.003047695516958816,0.32943321270000003,0.1087674,0.0,23.2991
2025-08-26 21:30:00,26.43704,1.562614735835798,-57.48901,5.619692,0.17072989672988279,3.449266691924404,1.8866519560886061,0.2032153330705324,100.57308664064,0.06659508262752442,0.7531782364471408,-0.0031340851286415783,0.3717044788,0.1329698,0.0,23.2258
2025-08-26 22:00:00,25.67017,1.4264348254088897,-57.70138,6.002874,0.18220175652952064,3.2964543999887446,1.870019574579855,0.1953466879695249,100.57308664064,0.06654794939976866,0.7458980066631513,-0.0032396361923554195,0.3885261686,0.1100924,0.0,22.7478
2025-08-26 22:30:00,24.96746,1.3738040462989471,-55.37974,5.396322,0.1664685922031133,3.1616429409106077,1.7878388946116606,0.1883631545661317,100.57308664064,0.06650475956253907,0.739061859591459,-0.0031967990438404315,0.3618985358,0.09958527,0.0,21.3019
2025-08-26 23:00:00,24.4559,1.3288981148670116,-56.36532,5.221961,0.1613080656562466,3.0665509061487595,1.7376527912817479,0.18341260266504364,100.57308664064,0.06647331815266422,0.7339853404499864,-0.0033217513027812466,0.35424408790000006,0.08326622,0.0,21.0929
2025-08-26 23:30:00,23.87358,1.2916335194177475,-58.14166,5.199708,0.15782409163472433,2.9613503357059456,1.6697168162881981,0.17791118749236148,100.57308664064,0.06643752770423524,0.7281036339774436,-0.0035100125145302347,0.3532671812,0.09048812,0.0,19.989
